localBodyCode,localBodyNameEnglish,localBodyNameLocal,blockCode
111276,Sawang North,SAWANG NORTH,3067
111277,Sawang South,SAWANG SOUTH,3067
111278,Siyari,SIYARI,3067
111279,Tikahara,TIKAHARA,3067
111280,Tilaiya,TILAIYA,3067
111281,Tulbul,TULBUL,3067
111282,Araju,ARAJU,3068
111283,Araldih,ARALDIH,3068
111284,Bandhdih North,BANDHDIH NORTH,3068
111285,Bandhdih South,BANDHDIH SOUTH,3068
111286,Baradih,BARADIH,3068
111287,Baru,BARU,3068
111288,Beldih,BELDIH,3068
111289,Bhaski,BHASKI,3068
111290,Chilgadda,CHILGADDA,3068
111291,Gangjori,GANGJORI,3068
111292,Gaychhanda,GAYCHHANDA,3068
111293,Jaina,JAINA,3068
111294,Khutri,KHUTRI,3068
111295,Tand Balidih,TAND BALIDIH,3068
111296,Tand Mohanpur,TAND MOHANPUR,3068
111297,Tatri North,TATRI NORTH,3068
111298,Tatri South,TATRI SOUTH,3068
111310,Bagda,BAGDA,3069
111299,Barikala,BARIKALA,3069
111300,Daatu,DAATU,3069
111301,Durgapur,DURGAPUR,3069
111302,Garri,GARRI,3069
111303,Hisim,HISIM,3069
111304,Kasmar,KASMAR,3069
111305,Kharachatar,KHARACHATAR,3069
111306,Madhukarpur,MADHUKARPUR,3069
111307,Manjura,MANJURA,3069
111308,Murhul Sudi,MURHUL SUDI,3069
111309,Ponda,PONDA,3069
111311,Singhpur,SINGHPUR,3069
111312,Sonpura,SONPURA,3069
111313,Tangtona,TANGTONA,3069
111346,Angwali North,ANGWALI NORTH,3071
111347,Angwali South,ANGWALI SOUTH,3071
111348,Arjuba,ARJUBA,3071
111356,Bundu,BUNDU,3071
111349,Chalkari North,CHALKARI NORTH,3071
111350,Chalkari South,CHALKARI SOUTH,3071
111351,Chando,CHANDO,3071
111352,Chapi,CHAPI,3071
111353,Chargi,CHARGI,3071
111354,Darid,DARID,3071
111355,Dharwa Tand,DHARWA TAND,3071
111357,Khetko,KHETKO,3071
111358,Koh,KOH,3071
111359,Mayapur,MAYAPUR,3071
111360,Ordhana,ORDHANA,3071
111361,Patki,PATKI,3071
111362,Peterwar,PETERWAR,3071
111363,Pichari North,PICHARI NORTH,3071
111364,Pichari South,PICHARI SOUTH,3071
111365,Sadmakala,SADMAKALA,3071
111366,Tenughat,TENUGHAT,3071
111367,Ulgadda,ULGADDA,3071
111368,Uttasara,UTTASARA,3071
111429,Belkhori,BELKHORI,6691
111432,Fulang,FULANG,6691
111434,Husia,HUSIA,6691
111436,Kadganwa Kala,KADGANWA KALA,6691
111437,Karma,KARMA,6691
111441,Manjhganwa,MANJHGANWA,6691
111442,Mayurhand,MAYURHAND,6691
111444,Pandni,PANDNI,6691
111446,Petaderi,PETADERI,6691
111449,Soki,SOKI,6691
111430,Dhankheri,DHANKHERI,3075
111431,Dhuna,DHUNA,3075
111433,Halmata,HALMATA,3075
111435,Itkhori,ITKHORI,3075
111438,Karni,KARNI,3075
111439,Koni,KONI,3075
111440,Malakpur,MALAKPUR,3075
111443,Nawada,NAWADA,3075
111445,Parsauni,PARSAUNI,3075
111447,Pitij,PITIJ,3075
111448,Shaharjam,SHAHARJAM,3075
111450,Tonatanr,TONATANR,3075
111451,Baudhadih,BAUDHADIH,3076
111452,Kunda,KUNDA,3076
111453,Margada,MARGADA,3076
111454,Nawada,NAWADA,3076
111455,Sikidag,SIKIDAG,3076
111369,Ara,ARA,3072
111371,Baraini,BARAINI,3072
111373,Brahmana,BRAHMANA,3072
111376,Damdoiya,DAMDOIYA,3072
111377,Darha,DARHA,3072
111378,Dariatu,DARIATU,3072
111379,Dewaria,DEWARIA,3072
111380,Gandharia,GANDHARIA,3072
111381,Godhai,GODHAI,3072
111383,Jangi,JANGI,3072
111386,Lem,LEM,3072
111388,Moktama,MOKTAMA,3072
111389,Paradih,PARADIH,3072
111391,Sikid,SIKID,3072
111392,Sima,SIMA,3072
111393,Tikar,TIKAR,3072
111395,Bariatu,BARIATU,3073
111396,Barisakhi,BARISAKHI,3073
111397,Dwari,DWARI,3073
111398,Gidhour,GIDHOUR,3073
111399,Manjhganwa,MANJHGANWA,3073
111400,Pahra,PAHRA,3073
111401,Auru,AURU,3074
111402,Baluri,BALURI,3074
111403,Chakla,CHAKLA,3074
111404,Daha,DAHA,3074
111405,Dantar,DANTAR,3074
111406,Dumri Kala,DUMRI KALA,3074
111407,Genjna,GENJNA,3074
111408,Gerua,GERUA,3074
111409,Gosaidih,GOSAIDIH,3074
111410,Jabra,JABRA,3074
111411,Joldiha,JOLDIHA,3074
111412,Jori Kala,JORI KALA,3074
111413,Karailibar,KARAILIBAR,3074
111414,Karma,KARMA,3074
111415,Kataiya,KATAIYA,3074
111416,Kedli Kala,KEDLI KALA,3074
111417,Khuntikewal Khurd,KHUNTIKEWAL KHURD,3074
111418,Kobna,KOBNA,3074
111419,Lenjwa,LENJWA,3074
111420,Meerpur,MEERPUR,3074
111421,Nawadih,NAWADIH,3074
111422,Nawadih Panari,NAWADIH PANARI,3074
111423,Paini Kala,PAINI KALA,3074
111424,Pandepura Khurd,PANDEPURA KHURD,3074
111425,Salaiya,SALAIYA,3074
111426,Tarwagada,TARWAGADA,3074
111427,Tilhet,TILHET,3074
111428,Uraili,URAILI,3074
111456,Hedum,HEDUM,3077
111457,Katia,KATIA,3077
111458,Kolkole Kala,KOLKOLE KALA,3077
111459,Lamta,LAMTA,3077
111460,Lawalong,LAWALONG,3077
111461,Mandhania,MANDHANIA,3077
111462,Rimi,RIMI,3077
111463,Sildag,SILDAG,3077
111464,Barwadih,BARWADIH,3078
111465,Meral,MERAL,3078
111466,Nawadih Damaul,NAWADIH DAMAUL,3078
111467,Nongaon,NONGAON,3078
111468,Singhani,SINGHANI,3078
111469,Babhane,BABHANE,3079
111470,Barura,BARURA,3079
111471,Bharhi,BHARHI,3079
111472,Chndrigovindpur,CHNDRIGOVINDPUR,3079
111473,Dumarwar,DUMARWAR,3079
111474,Eghara,EGHARA,3079
111475,Gajwa,GAJWA,3079
111476,Ghordaur,GHORDAUR,3079
111477,Ghorighat,GHORIGHAT,3079
111478,Humajang,HUMAJANG,3079
111479,Jogidih,JOGIDIH,3079
111480,Moneya,MONEYA,3079
111481,Pratappur,PRATAPPUR,3079
111482,Rampur,RAMPUR,3079
111483,Sidki,SIDKI,3079
111484,Sijua,SIJUA,3079
111485,Tandwa,TANDWA,3079
111486,Yogiyara,YOGIYARA,3079
111487,Bagra,BAGRA,3080
111488,Banasadi,BANASADI,3080
111489,Banhe,BANHE,3080
111490,Chope,CHOPE,3080
111491,Dadi,DADI,3080
111492,Edla,EDLA,3080
111493,Hurnali,HURNALI,3080
111494,Ichak,ICHAK,3080
111495,Jabra,JABRA,3080
111496,Jangi,JANGI,3080
111497,Jirwa Khurd,JIRWA KHURD,3080
111498,Kasari,KASARI,3080
111499,Pagar,PAGAR,3080
111500,Piri,PIRI,3080
111501,Pundra,PUNDRA,3080
111502,Sabano,SABANO,3080
111503,Serendag,SERENDAG,3080
111506,Bahera,BAHERA,3081
111507,Bargaon,BARGAON,3081
111508,Benti,BENTI,3081
111514,Dahu,DAHU,3081
111515,Dhangada,DHANGADA,3081
111516,Gadilong,GADILONG,3081
111517,Kabra,KABRA,3081
111518,Kalyanpur,KALYANPUR,3081
111519,Kichto,KICHTO,3081
111520,Koyad,KOYAD,3081
111521,Mishraul,MISHRAUL,3081
111522,Nawadih Alias Teliadih,NAWADIH  ALIAS TELIADIH,3081
111523,Padumpur,PADUMPUR,3081
111524,Pokla Alias Kasiadih,POKLA ALIAS KASIADIH,3081
111525,Raham,RAHAM,3081
111526,Saradhu,SARADHU,3081
111527,Tandwa,TANDWA,3081
111370,Bakchuma,BAKCHUMA,6690
111372,Bengo Kala,BENGO KALA,6690
111374,Charu,CHARU,6690
111375,Chiridiri,CHIRIDIRI,6690
111382,Jamri Bakaspura,JAMRI BAKASPURA,6690
111384,Kaindinagar,KAINDINAGAR,6690
111385,Kolhaiya,KOLHAIYA,6690
111387,Madgada,MADGADA,6690
111390,Rajpur,RAJPUR,6690
111394,Tulbul,TULBUL,6690
111528,Andharigadhar,ANDHARIGADHAR,3082
111529,Baswaria,BASWARIA,3082
111530,Chandih,CHANDIH,3082
111531,Dharwadih,DHARWADIH,3082
111532,Gauripur,GAURIPUR,3082
111533,Gidhani,GIDHANI,3082
111534,Gwalbadia,GWALBADIA,3082
111535,Jhhiliuachandih,JHHILIUACHANDIH,3082
111536,Kenmankathi,KENMANKATHI,3082
111537,Khaspaika,KHASPAIKA,3082
111538,Khoripanan,KHORIPANAN,3082
111539,Konkribank,KONKRIBANK,3082
111540,Mahtodihudaypura,MAHTODIHUDAYPURA,3082
111541,Manikpur,MANIKPUR,3082
111542,Masanjora,MASANJORA,3082
111543,Nawadih,NAWADIH,3082
111544,Picharibad,PICHARIBAD,3082
111545,Punasi,PUNASI,3082
111546,Sangramlorhiya,SANGRAMLORHIYA,3082
111547,Saratkhorposh,SARATKHORPOSH,3082
111548,Sarsa,SARSA,3082
111549,Shankri,SHANKRI,3082
111550,Tabhaghat,TABHAGHAT,3082
111551,Amdiha,AMDIHA,3083
111552,Baghmari,BAGHMARI,3083
111553,Barwan,BARWAN,3083
111554,Bhojpur,BHOJPUR,3083
111555,Daranga,DARANGA,3083
111556,Dhobana,DHOBANA,3083
111557,Fulkari,FULKARI,3083
111558,Husainabad,HUSAINABAD,3083
111559,Jhhumarbad,JHHUMARBAD,3083
111560,Jhhundi,JHHUNDI,3083
111561,Jitjorit,JITJORIT,3083
111562,Kasathi,KASATHI,3083
111563,Mahuatand,MAHUATAND,3083
111564,Manpur,MANPUR,3083
111565,Rajpura,RAJPURA,3083
111566,Ramudih,RAMUDIH,3083
111567,Tatkiyo Nawadih,TATKIYO NAWADIH,3083
111568,Badhanadih,BADHANADIH,3084
111569,Badiya,BADIYA,3084
111570,Bara,BARA,3084
111571,Birangadia,BIRANGADIA,3084
111573,Dindakoli,DINDAKOLI,3084
111574,Ganjewari,GANJEWARI,3084
111576,Karown,KAROWN,3084
111577,Kasaiya,KASAIYA,3084
111583,Nagadari,NAGADARI,3084
111585,Pathrol,PATHROL,3084
111588,Ranidih,RANIDIH,3084
111589,Saltar,SALTAR,3084
111590,Sirsa,SIRSA,3084
111591,Tekra,TEKRA,3084
111594,Baranarayanpur,BARANARAYANPUR,3085
111595,Berwa,BERWA,3085
111596,Burhai,BURHAI,3085
111597,Charpa,CHARPA,3085
111598,Dalha,DALHA,3085
111599,Darwe,DARWE,3085
111600,Dhamani,DHAMANI,3085
111601,Gariya,GARIYA,3085
111602,Ghagharjori,GHAGHARJORI,3085
111603,Gonaiya,GONAIYA,3085
111604,Govindpur,GOVINDPUR,3085
111605,Jamuni,JAMUNI,3085
111606,Jawagudi,JAWAGUDI,3085
111607,Misarna,MISARNA,3085
111608,Pasiya,PASIYA,3085
111609,Pathaljor,PATHALJOR,3085
111610,Patwabad,PATWABAD,3085
111611,Saptar,SAPTAR,3085
111612,Sikatya,SIKATYA,3085
111614,Suggapahari 2,SUGGAPAHARI 2,3085
111615,Udaypura,UDAYPURA,3085
111616,Baghmari Kitakharwa,BAGHMARI     KITAKHARWA,3086
111617,Balthar,BALTHAR,3086
111618,Bank,BANK,3086
111619,Banka,BANKA,3086
111620,Bara,BARA,3086
111621,Bhikhna,BHIKHNA,3086
111622,Bichgarha,BICHGARHA,3086
111623,Chakarama,CHAKARAMA,3086
111624,Dahijore,DAHIJORE,3086
248049,Deoghar,देवघर,3086
111625,Ghongha,GHONGHA,3086
111626,Ghutiabara Ashana,GHUTIABARA ASHANA,3086
111627,Harkatta,HARKATTA,3086
111628,Jamunia,JAMUNIA,3086
111629,Jhalar,JHALAR,3086
111630,Jharkhandi,JHARKHANDI,3086
111631,Katwan,KATWAN,3086
111633,Malhara,MALHARA,3086
111634,Medinidih,MEDINIDIH,3086
111635,Morne,MORNE,3086
111636,Nayachitkath,NAYACHITKATH,3086
111637,Postwari,POSTWARI,3086
111638,Raghunathpur,RAGHUNATHPUR,3086
111639,Rarhia,RARHIA,3086
111632,Sarasani,SARASANI,3086
111640,Suardehi,SUARDEHI,3086
111641,Tarabad,TARABAD,3086
111642,Thadiyara,THADIYARA,3086
111643,Tumbabel,TUMBABEL,3086
111644,Bagdaha,BAGDAHA,3087
111645,Bandhdih,BANDHDIH,3087
111646,Barjori,BARJORI,3087
111647,Basaha,BASAHA,3087
111648,Basbutia,BASBUTIA,3087
111649,Bhurkundi,BHURKUNDI,3087
111650,Birajpur,BIRAJPUR,3087
111651,Dhawa,DHAWA,3087
111652,Dudhani,DUDHANI,3087
111653,Jamua,JAMUA,3087
111654,Jivnabandh,Jivnabandh,3087
111655,Kachuwasoli,KACHUWASOLI,3087
111656,Kanki,KANKI,3087
111657,Kasraydih,KASRAYDIH,3087
111658,Khaga,KHAGA,3087
111659,Kunjbona,KUNJBONA,3087
111660,Kunjora,KUNJORA,3087
111661,Mahuadabar,MAHUADABAR,3087
111662,Matiyara,MATIYARA,3087
111663,Paharudih,PAHARUDIH,3087
111664,Palojori,PALOJORI,3087
111665,Patharghatia,PATHARGHATIA,3087
111666,Raghuwadih,RAGHUWADIH,3087
111667,Sagarajore,SAGARAJORE,3087
111668,Simalgarha,Simalgarha,3087
111669,Aluwara,ALUWARA,3088
111670,Arajori,ARAJORI,3088
111671,Asanbani,ASANBANI,3088
111675,Babhangama,BABHANGAMA,3088
111672,Bagdabra,BAGDABRA,3088
111673,Barbad,BARBAD,3088
111674,Basahatand,BASAHATAND,3088
111676,Bochbandh,BOCHBANDH,3088
111677,Chitra,CHITRA,3088
111678,Dindakoli,DINDAKOLI,3088
111679,Dumdumi,DUMDUMI,3088
111680,Fulchua,FULCHUA,3088
111681,Jamuasol,JAMUASOL,3088
111682,Jhiluwa,JHILUWA,3088
111683,Kairabank,KAIRABANK,3088
111684,Kechuwabank,KECHUWABANK,3088
111685,Kukraha,KUKRAHA,3088
111686,Lagwan,LAGWAN,3088
111687,Manjhladih,MANJHLADIH,3088
111688,Nawada,NAWADA,3088
111689,Palma,PALMA,3088
111690,Pathradda,PATHRADDA,3088
111691,Sabaijore,SABAIJORE,3088
111692,Sadharia,SADHARIA,3088
111693,Sarath,SARATH,3088
111694,Simla,SIMLA,3088
111695,Thadi,THADI,3088
111696,Baijukura,BAIJUKURA,3089
111697,Bandajori,BANDAJORI,3089
111698,Banwariya,BANWARIYA,3089
111699,Bhandaro,BHANDARO,3089
111703,Dahuwa,DAHUWA,3089
111704,Dakay,DAKAY,3089
111705,Dondia,DONDIA,3089
111709,Jiyakhara,JIYAKHARA,3089
111711,Kushmaha,KUSHMAHA,3089
111713,Lakhoriya,LAKHORIYA,3089
111716,Narangi,NARANGI,3089
111717,Pahariya,PAHARIYA,3089
111718,Rakti,RAKTI,3089
111719,Sarwan,SARWAN,3089
111700,Bhorajamua,BHORAJAMUA,6623
111701,Binjha,BINJHA,6623
111702,Brahmotara,BRAHMOTARA,6623
111706,Dondiya,DONDIYA,6623
111708,Jarka 1,JARKA 1,6623
111707,Jarka 2,JARKA 2,6623
111710,Khijuriya,KHIJURIYA,6623
111712,Kusumthar,KUSUMTHAR,6623
111714,Magdiha,MAGDIHA,6623
111715,Mahapur,MAHAPUR,6623
111720,Sonaraithadi,SONARAITHADI,6623
111721,Thadilapra,THADILAPRA,6623
111592,Baghmara,BAGHMARA,6624
111593,Bansimi,BANSIMI,6624
111572,Chetnari,CHETNARI,6624
111575,Kano,KANO,6624
111578,Laharjori,LAHARJORI,6624
111579,Mahjori,MAHJORI,6624
111580,Mahuatand,MAHUATAND,6624
111581,Margomunda,MARGOMUNDA,6624
111582,Murlipahari,MURLIPAHARI,6624
111584,Pandniya,PANDNIYA,6624
111586,Pipra,PIPRA,6624
111587,Rampur,RAMPUR,6624
111613,Suggapahari 1,SUGGAPAHARI 1,6624
111917,Alakendra,ALAKENDRA,7111
111919,Ankhdwara,ANKHDWARA,7111
111920,Asanliya,ASANLIYA,7111
111922,Banda East,BANDA EAST,7111
111923,Banda West,BANDA WEST,7111
111924,Bara Ambona,BARA AMBONA,7111
111926,Benagoria (Chi),BENAGORIA (CHI),7111
111930,Bhurkundabari,BHURKUNDABARI,7111
111935,Dhobari,DHOBARI,7111
111936,Dumaria,DUMARIA,7111
111943,Jamdehi,JAMDEHI,7111
111944,Jamkudar,JAMKUDAR,7111
111946,Kaliasol,KALIASOL,7111
111952,Ledaharia,LEDAHARIA,7111
111965,Patharkuan,PATHARKUAN,7111
111966,Patla Bari,PATLA BARI,7111
111967,Pindrahat,PINDRAHAT,7111
111971,Salukachpara,SALUKACHPARA,7111
111980,Susunliya,SUSUNLIYA,7111
111982,Urma,URMA,7111
111722,Bagdaha,BAGDAHA,3090
111723,Bagra,BAGRA,3090
111724,Bahiyardih,BAHIYARDIH,3090
111725,Bansjora,BANSJORA,3090
111726,Barora,BARORA,3090
111727,Behrakudar,BEHRAKUDAR,3090
111728,Bhimkanali,BHIMKANALI,3090
111729,Bowakala North,BOWAKALA NORTH,3090
111730,Bowakala South,BOWAKALA SOUTH,3090
111731,Chhatrutand,CHHATRUTAND,3090
245449,Chhotanagri,CHHOTANAGRI,3090
111732,Daludih,DALUDIH,3090
111733,Darida,DARIDA,3090
111734,Dharmabandh,DHARMABANDH,3090
111735,Dhawachita,DHAWACHITA,3090
111736,Dumra North,DUMRA NORTH,3090
111737,Dumra South,DUMRA SOUTH,3090
111738,Fularitand,FULARITAND,3090
111739,Gobindadih,GOBINDADIH,3090
111740,Harina,HARINA,3090
111741,Hathudih,HATHUDIH,3090
111742,Jamua,JAMUA,3090
111743,Jamuatand,JAMUATAND,3090
111744,Jhijhipahari,JHIJHIPAHARI,3090
111745,Kanchanpur,KANCHANPUR,3090
111746,Kandra,KANDRA,3090
111747,Kapuria,KAPURIA,3090
111748,Keshargarah,KESHARGARAH,3090
111749,Khanudih,KHANUDIH,3090
111750,Kharkhari,KHARKHARI,3090
111751,Kumarjori,KUMARJORI,3090
111752,Lohopitti,LOHOPITTI,3090
111753,Lutipahari,LUTIPAHARI,3090
111754,Madhuban,MADHUBAN,3090
111756,Maheshpur 1,MAHESHPUR 1,3090
111755,Maheshpur 2,MAHESHPUR 2,3090
111757,Mahuda,MAHUDA,3090
111758,Malkera North,MALKERA NORTH,3090
111759,Malkera South,MALKERA SOUTH,3090
111760,Mandra,MANDRA,3090
111761,Matigarah,MATIGARAH,3090
111762,Mohlidih,MOHLIDIH,3090
111763,Muraidhi,MURAIDHI,3090
111764,Nadkhurki,NADKHURKI,3090
111766,Nagrikala North,NAGRIKALA NORTH,3090
111765,Nagrikala South,NAGRIKALA SOUTH,3090
111767,Nichitpur-1,NICHITPUR-1,3090
111768,Nichitpur-2,NICHITPUR-2,3090
111769,Padugora,PADUGORA,3090
111770,Pathargaria,PATHARGARIA,3090
111771,Phatamahul,PHATAMAHUL,3090
111772,Raghunathpur,RAGHUNATHPUR,3090
111773,Rajganj,RAJGANJ,3090
111774,Ranguni,RANGUNI,3090
111775,Singrah,SINGRAH,3090
111776,Sinidih,SINIDIH,3090
111777,Targa,TARGA,3090
111778,Telmocho,TELMOCHO,3090
111779,Tetulia-1,TETULIA-1,3090
111780,Tetulia-2,TETULIA-2,3090
111781,Tundu,TUNDU,3090
111782,Alakhdiha,ALAKHDIHA,3091
111783,Amjhar,AMJHAR,3091
111784,Amtal,AMTAL,3091
111785,Baghmara,BAGHMARA,3091
111786,Baliapur East,BALIAPUR EAST,3091
111787,Baliapur West,BALIAPUR WEST,3091
111788,Baradaha,BARADAHA,3091
111789,Bhikhrajpur,BHIKHRAJPUR,3091
111790,Birsinghpur,BIRSINGHPUR,3091
111791,Chandkuiya,CHANDKUIYA,3091
245453,Chhatatand,CHHATATAND,3091
111792,Dolawar,DOLAWAR,3091
111793,Dudhiya,DUDHIYA,3091
111794,Gharbar,GHARBAR,3091
111795,Jagdish,JAGDISH,3091
111796,Karmatand,KARMATAND,3091
